viruses (rows)   /  sera (columns -->),A/WELLINGTON/25/93,A/WELLINGTON/96/93,A/VICTORIA/9/94,A/JOHANNESBURG/33/94,A/SHANGDONG/9/93,A/WELLINGTON/1/94_repeat,A/WELLINGTON/1/94,A/Nanchang/933/95,A/TASMANIA/1/97,A/CANBERRA/1/96,A/WUHAN/359/95,A/BANGKOK/1/97,A/SYDNEY/5/97,A/PANAMA/2007/99,A/VICTORIA/507/98,A/VICTORIA/577/99,A/WYOMING/3/2003,A/WELLINGTON/1/2004,A/FUKUOKA/55/2002,A/VICTORIA/110/2004,A/NEW_YORK/55/2004,A/SINGAPORE/37/2004,A/VICTORIA/523/2004,A/BRISBANE/3/2005,A/BRISBANE/10/2007,A/VICTORIA/500/2009,A/URUGUAY/716/2007,A/PERTH/27/2007,A/VICTORIA/208/2009,A/VICTORIA/8/2010,A/PERTH/16/2009,A/TOWNSVILLE/87/2010,A/BEIJING/337/89,A/BEIJING/353/89,A/HONGKONG/34/90,,,,,,
Prototype_WT_A/NETHERLAND/179/93,640,2560,2560,1280,640,*,1280,<10,<10,320,80,80,20,<10,<10,10,<10,<10,<10,<10,<10,10,<10,<10,<10,10,<10,<10,<10,<10,<10,<10,160,80,80,,,,,,
A/WELLINGTON/1/94,1280,2560,2560,640,640,1280,1280,<10,10,320,80,160,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,40,20,160,,,,,,
A/BRISBANE/22/94,1280,2560,5120,1280,1280,2560,1280,<10,20,640,160,320,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,40,<10,80,,,,,,
A/JOHANNESBURG/33/94,160,640,640,320,80,640,320,<10,<10,80,20,40,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,160,80,20,,,,,,
A/SHANGDONG/9/93,1280,640,320,80,320,160,80,<10,<10,160,<10,40,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,80,<10,80,,,,,,
A/WELLINGTON/25/93,640,2560,2560,1280,640,1280,1280,<10,10,320,320,160,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,80,<10,80,,,,,,
A/WELLINGTON/96/93,80,320,320,640,160,320,320,<10,<10,80,40,40,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,,,,,,
A/VICTORIA/9/94,640,2560,2560,1280,640,1280,1280,<10,10,320,160,160,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,80,40,80,,,,,,
A/BRISBANE/22/96,160,160,320,320,160,160,160,640,640,2560,2560,1280,40,20,160,10,20,40,10,10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,10,40,20,,,,,,
A/WUHAN/359/95,80,80,80,80,40,80,80,160,160,1280,1280,640,20,10,<10,10,10,20,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,40,80,<10,,,,,,
A/WELLINGTON/48/96,160,160,160,40,40,80,40,640,320,320,640,1280,40,20,160,20,40,40,10,20,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,10,20,40,,,,,,
A/AUCKLAND/5/96,40,20,40,20,20,40,40,320,40,640,640,160,<10,<10,<10,10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,10,80,<10,,,,,,
A/VICTORIA/47/97,80,160,160,<10,<10,80,<10,640,1280,640,640,1280,<10,20,320,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,,,,,,
A/CANBERRA/1/96,160,160,160,<10,<10,80,<10,320,40,1280,320,320,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,320,<10,,,,,,
A/PERTH/5/97,160,160,320,160,160,160,80,320,2560,2560,2560,640,40,40,160,20,20,40,10,20,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,80,40,,,,,,
A/PERTH/9/97,160,320,320,320,160,160,160,640,5120,5120,5120,1280,80,80,640,40,40,80,20,40,20,<10,<10,<10,<10,<10,<10,<10,<10,<10,20,10,<10,80,20,,,,,,
A/BANGKOK/1/97,40,40,40,80,80,20,40,320,80,1280,640,640,40,10,80,<10,10,40,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,20,40,<10,,,,,,
